10.16.21.147,293412385E176511403F498E,123133.554003,2,-71
10.16.21.147,293412385E176511403F498E,123133.610299,1,-64
10.16.21.147,293412385E176511403F498E,123133.642791,1,-59
10.16.21.147,293412385E176511403F498E,123133.669503,0,-51
10.16.21.147,293412385E176511403F498E,123133.696817,0,-49
10.16.21.147,293412385E176511403F498E,123133.761227,0,-49
10.16.21.147,293412385E176511403F498E,123133.787913,0,-49
10.16.21.147,293412385E176511403F498E,123133.816512,0,-50
10.16.21.147,293412385E176511403F498E,123133.848448,0,-53
10.16.21.147,293412385E176511403F498E,123133.878094,0,-55
10.16.21.147,293412385E176511403F498E,123133.907753,0,-55
10.16.21.147,293412385E176511403F498E,123133.939785,1,-61
10.16.21.147,293412385E176511403F498E,123133.974113,0,-67
